,AcrobotAgentv1.0,AcrobotAgentv1.1,AcrobotAgentv1.2,AcrobotAgentv1.3
292,-500,-97,-180,-163
293,-500,-95,-500,-98
294,-500,-106,-500,-117
295,-500,-93,-112,-129
296,-500,-106,-142,-141
297,-500,-104,-89,-166
298,-500,-141,-145,-148
299,-500,-97,-88,-134
300,-500,-101,-131,-117
301,-500,-121,-95,-119
302,-500,-114,-151,-118
303,-500,-128,-112,-441
304,-500,-102,-117,-130
305,-500,-96,-94,-230
306,-500,-99,-127,-145
307,-500,-101,-125,-163
308,-500,-84,-88,-148
309,-500,-97,-113,-151
310,-500,-127,-145,-98
311,-500,-102,-88,-128
312,-500,-92,-101,-116
313,-500,-120,-129,-178
314,-500,-128,-130,-165
315,-500,-108,-96,-141
316,-500,-106,-101,-153
317,-500,-96,-152,-109
318,-500,-155,-135,-126
319,-500,-114,-101,-135
320,-500,-96,-88,-175
321,-500,-92,-99,-98
322,-500,-98,-124,-98
323,-500,-99,-500,-146
324,-500,-130,-118,-162
325,-500,-97,-119,-136
326,-500,-96,-113,-229
327,-500,-93,-500,-153
328,-500,-115,-116,-218
329,-500,-93,-135,-114
330,-500,-96,-117,-257
331,-500,-122,-96,-91
332,-500,-116,-112,-130
333,-500,-114,-111,-146
334,-500,-116,-150,-225
335,-500,-102,-111,-116
336,-500,-171,-149,-98
337,-500,-97,-133,-134
338,-500,-182,-118,-116
339,-500,-128,-118,-183
340,-500,-105,-102,-109
341,-500,-152,-126,-106
342,-500,-102,-118,-131
343,-500,-120,-138,-94
344,-500,-97,-112,-143
345,-500,-98,-99,-182
346,-500,-122,-87,-93
347,-500,-97,-98,-109
348,-500,-95,-111,-142
349,-500,-97,-100,-198
350,-500,-106,-112,-190
351,-500,-97,-124,-93
352,-500,-149,-103,-135
353,-500,-92,-112,-159
354,-500,-124,-97,-279
355,-500,-106,-98,-500
356,-500,-93,-104,-258
357,-500,-96,-121,-162
358,-500,-93,-118,-131
359,-500,-116,-119,-167
360,-500,-93,-135,-149
361,-500,-104,-88,-123
362,-500,-91,-119,-184
363,-500,-100,-141,-131
364,-500,-111,-100,-93
365,-500,-108,-117,-108
366,-500,-127,-119,-100
367,-500,-90,-87,-110
368,-500,-101,-197,-135
369,-500,-117,-118,-108
370,-500,-96,-111,-126
371,-500,-129,-99,-118
372,-500,-92,-129,-144
373,-500,-106,-146,-117
374,-500,-150,-173,-500
375,-500,-130,-112,-97
376,-500,-96,-109,-117
377,-500,-108,-127,-126
378,-500,-100,-85,-178
379,-500,-105,-163,-96
380,-500,-98,-123,-85
381,-500,-116,-123,-121
382,-500,-100,-154,-143
383,-500,-114,-131,-126
384,-500,-97,-126,-133
385,-500,-95,-123,-127
386,-500,-97,-89,-121
387,-500,-105,-139,-109
388,-500,-96,-500,-254
389,-500,-96,-138,-145
390,-500,-98,-100,-124
391,-500,-96,-119,-163
392,-500,-102,-125,-187
393,-500,-118,-130,-481
394,-500,-118,-500,-500
395,-500,-106,-134,-141
396,-500,-106,-119,-111
397,-500,-93,-122,-151
398,-500,-122,-87,-100
